MonthYear_Date,avg(GoldsteinScale)
201503,-0.8918302267600224
201607,-1.2381491201545956
201702,-0.6924753814216241
201510,-0.5567620572230912
201611,-1.2059285025888125
201605,-1.0744091288904485
201704,-1.5212184651879133
201602,-0.4131171809239516
201511,-0.3215370576462608
201703,-0.9461464255866029
201507,-1.4952868874565213
201606,-1.2466120443150934
201609,-0.9556483390055422
201709,-0.9601585326664431
201502,-0.9907635263338893
201706,-1.6550101601506735
201610,-1.0977465405946998
201509,0.5039570466884812
201608,-1.233429368908335
201512,-0.46789248270200995
201708,-0.7435837400425075
201705,-0.7056042888112343
201707,-0.8418008027832452
201508,-1.2418629823507745
201604,-0.5877575278017443
201506,-1.501798346507288
201504,-1.0175335911207077
201701,-0.2440940583851779
201603,-0.23018449204704183
201601,-0.4941272208774278
201612,-0.5094797157304969
201505,-1.4685828733784572
