GoldsteinScale,Average media coverage per event
-0.4,3.326125092113758
9.0,2.9955163530831186
5.0,2.8991949892325564
2.5,2.4446466060181944
8.5,2.632320688814881
3.8,2.86929758209656
-9.0,3.285319692423434
-0.1,4.199071142888028
8.3,2.77003088105776
3.4,3.0174395536087744
7.4,2.6981344717409206
,3.0454545454545454
7.0,3.0944265586765924
5.2,2.2657924349366287
3.2,2.6145854714719885
-4.0,3.230784730043791
3.0,3.4334356163245934
-0.3,3.0648738108404863
10.0,2.8807707592499883
-7.2,2.989075380877893
-9.5,3.0969509073704318
2.8,3.409468918048922
3.5,2.8243463289755266
6.4,2.1531750695560388
-6.5,2.8747337689888646
6.0,2.549974915693873
1.0,3.2442966540070954
-5.0,3.2719965745996102
8.0,2.242771766413594
-2.0,3.319267539442699
0.4,3.332597173811641
-5.6,2.907237325495959
-7.5,3.126017725285795
-8.0,3.1784195595758025
-9.2,3.0630002995494894
4.5,2.4894091753493255
-4.4,3.139134039605256
-5.8,2.9344166905601186
4.0,2.9685144941099515
-7.0,3.140532337845385
-10.0,4.029543211742683
0.0,3.5932342919131672
1.9,3.2616850179661956
