Month_Year_Mention,count
02-2015,3793794
Month_Year_Mention,count
03-2015,11932256
Month_Year_Mention,count
04-2015,11280501
Month_Year_Mention,count
05-2015,11943668
Month_Year_Mention,count
06-2015,11902110
Month_Year_Mention,count
07-2015,13606207
Month_Year_Mention,count
08-2015,11895657
Month_Year_Mention,count
09-2015,13027142
Month_Year_Mention,count
10-2015,12321199
Month_Year_Mention,count
11-2015,12492962
Month_Year_Mention,count
12-2015,11399302
Month_Year_Mention,count
01-2016,11863271
Month_Year_Mention,count
02-2016,12501235
Month_Year_Mention,count
03-2016,12890383
Month_Year_Mention,count
04-2016,12194984
Month_Year_Mention,count
05-2016,12888981
Month_Year_Mention,count
06-2016,12700928
Month_Year_Mention,count
07-2016,13974180
Month_Year_Mention,count
08-2016,12803060
Month_Year_Mention,count
09-2016,12796485
Month_Year_Mention,count
10-2016,12620102
Month_Year_Mention,count
11-2016,12373606
Month_Year_Mention,count
12-2016,11625693
Month_Year_Mention,count
01-2017,13186402
Month_Year_Mention,count
02-2017,12833657
Month_Year_Mention,count
03-2017,13654602
Month_Year_Mention,count
04-2017,12082564
Month_Year_Mention,count
05-2017,12379108
Month_Year_Mention,count
06-2017,11038276
Month_Year_Mention,count
07-2017,9973714
Month_Year_Mention,count
08-2017,10459561
Month_Year_Mention,count
09-2017,10138310
Month_Year_Mention,count
10-2017,10658640
Month_Year_Mention,count
11-2017,8344115
