GLOBALEVENTID,count
549672590,4359
557745579,4248
557716009,3942
632633876,3689
450130242,3682
557744790,3583
450326784,3560
550002663,3372
632620298,3364
632625376,3151
561922308,3095
619205565,3060
619205529,3037
632611988,3009
704165397,3009
541807570,2994
560347451,2904
557745576,2863
558285934,2854
448495222,2848
694335673,2747
448290997,2736
550374072,2580
557745944,2569
557699829,2552
554857213,2533
557743450,2451
651556373,2440
490618710,2440
557760496,2437
449824076,2423
622415286,2402
664635091,2361
507672088,2342
688365653,2338
622415285,2299
557710908,2297
557696570,2261
557750676,2257
571715020,2225
447805706,2205
670983967,2191
618863104,2162
432771555,2152
661645336,2147
618862930,2147
555961229,2107
632230702,2098
619663444,2097
444387906,2082
