MentionTimeDate,count
201503,1699474
201607,958936
201702,990229
201510,1814697
201611,1001095
201605,1059160
201704,776307
201602,1570709
201511,1723223
201703,893835
201507,1686181
201606,824962
201710,12604
201609,943126
201709,478321
201502,583415
201706,830121
201711,5152
201610,980381
201509,1690643
201608,972096
201512,1357205
201708,846962
201705,968601
201707,680151
201508,1952787
201604,1294908
201506,1677109
201504,1622368
201701,838960
201601,1252055
201603,1382359
201612,844537
201505,1575558
