MonthYear_Date,EventRootCode,ActionGeo_CountryCode,count
201709,01,CE,1
201511,01,GM,3
201611,01,BR,3
201510,02,YM,1
201610,01,ZI,1
201705,01,UK,11
201707,01,CM,1
201707,02,GR,1
201503,02,SL,2
201704,01,TU,12
201512,02,MX,1
201603,01,CI,1
201603,01,AF,4
201509,03,IR,3
201505,03,UK,15
201703,01,SW,2
201703,02,UK,4
201504,01,ID,1
201708,01,UK,3
201607,19,LY,2
201608,19,JA,2
201611,19,NI,2
201704,19,AS,8
201605,19,BX,1
201505,19,SU,2
201612,19,AR,1
201612,18,US,5
201504,19,AF,2
