Month_Year,ActionGeo_CountryCode,Number_Events
06-2016,FJ,16
06-2016,ZM,20
06-2016,,21
06-2016,CA,23
06-2016,RU,24
06-2016,GM,33
06-2016,IN,43
06-2016,SY,45
06-2016,GB,46
06-2016,AU,93
06-2016,US,365
07-2016,BN,1
07-2016,SI,1
07-2016,SB,1
07-2016,GH,1
07-2016,KW,1
07-2016,PS,1
07-2016,HT,1
07-2016,AT,1
07-2016,KH,1
07-2016,AL,1
07-2016,GW,1
07-2016,FI,1
07-2016,CZ,1
07-2016,CH,1
07-2016,DA,1
07-2016,HU,1
07-2016,PT,1
07-2016,MN,1
07-2016,CO,1
07-2016,HK,1
07-2016,BR,1
07-2016,JO,1
07-2016,SG,1
