MentionSourceName,count
wickedlocal.com,351
yahoo.com,247
caboolturenews.com.au,205
walb.com,197
dailymail.co.uk,184
globalsecurity.org,158
xinhuanet.com,153
japantoday.com,137
ap.org,134
perthnow.com.au,129
dailyamerican.com,127
asianage.com,121
ksby.com,119
fait-religieux.com,111
medicinehatnews.com,98
huewire.com,96
chicagotribune.com,96
ksla.com,95
wtol.com,95
theet.com,94
ivpressonline.com,93
montrealgazette.com,93
nzherald.co.nz,92
kten.com,89
koamtv.com,89
courierpress.com,88
abqjournal.com,87
thedailystar.net,86
pakistantoday.com.pk,84
westernmassnews.com,84
stltoday.com,82
huffingtonpost.com,82
wistv.com,76
cnsnews.com,76
arabnews.com,75
sbsun.com,74
bsccomment.com,71
philstar.com,69
indiatimes.com,68
miamiherald.com,67
brandonsun.com,67
wsiltv.com,66
sfgate.com,66
ghanaweb.com,65
durangoherald.com,64
washingtonpost.com,64
yakimaherald.com,64
bentoneveningnews.com,62
beloitdailynews.com,62
thevillagessuntimes.com,62
wlox.com,62
vcstar.com,62
statesville.com,60
wmbfnews.com,60
abc6onyourside.com,60
businesstimes.com.sg,59
plenglish.com,58
wnem.com,58
wtop.com,58
politickernj.com,57
smh.com.au,57
news-journalonline.com,57
montereyherald.com,57
hawaiinewsnow.com,56
gainesville.com,55
washingtonexaminer.com,55
billingsgazette.com,55
cinemablaze.com,55
newsmax.com,53
saudigazette.com.sa,53
wftv.com,53
mauritaniavox.com,53
chron.com,53
sacbee.com,52
whittierdailynews.com,52
ckom.com,51
beatricedailysun.com,50
state.gov,50
freerepublic.com,49
insideottawavalley.com,49
